10000|17|2.7000000E+01|4|0.000E+00
10001|25|9.8000000E+00|30|1.500E-01
10001|40|1.2800000E+01|40|0.000E+00
10001|59|3.8500000E+01|8|0.000E+00
10001|64|2.3000000E+01|15|1.500E-01
10002|31|8.0000000E+00|35|0.000E+00
10002|39|1.2600000E+01|18|0.000E+00
10002|71|1.5000000E+01|15|0.000E+00
10003|18|4.3700000E+01|12|5.000E-02
10004|29|8.6000000E+01|35|0.000E+00
10004|63|3.0700000E+01|6|0.000E+00
10005|62|3.4000000E+01|6|1.500E-01
10006|13|4.2000000E+00|10|0.000E+00
10006|50|1.1300000E+01|4|0.000E+00
10007|12|2.6000000E+01|4|0.000E+00
10007|53|2.2900000E+01|30|0.000E+00
10007|63|3.0700000E+01|20|0.000E+00
10008|14|1.6200000E+01|20|0.000E+00
10008|21|7.0000000E+00|15|0.000E+00
10008|51|3.7100000E+01|20|0.000E+00
10009|23|6.0000000E+00|70|0.000E+00
10009|51|3.7000000E+01|30|0.000E+00
10010|43|3.2000000E+01|10|0.000E+00
10010|71|1.5000000E+01|10|0.000E+00
10011|18|4.3700000E+01|12|2.500E-01
10011|19|6.4000000E+00|15|0.000E+00
10011|36|1.3300000E+01|10|2.500E-01
10012|19|6.4000000E+00|49|0.000E+00
10012|35|1.2000000E+01|30|0.000E+00
10012|40|1.2800000E+01|30|0.000E+00
10013|41|6.7000000E+00|50|0.000E+00
10013|43|3.2200000E+01|7|0.000E+00
10014|18|4.3000000E+01|4|0.000E+00
10014|41|6.7000000E+00|3|0.000E+00
10015|11|1.4700000E+01|60|0.000E+00
10015|24|3.0000000E+00|25|0.000E+00
10015|41|6.7000000E+00|20|0.000E+00
10015|73|1.0500000E+01|15|0.000E+00
10015|74|7.0000000E+00|25|0.000E+00
10016|61|1.9900000E+01|15|1.500E-01
10016|62|3.4500000E+01|50|0.000E+00
10016|68|8.7000000E+00|10|1.500E-01
10017|46|8.4000000E+00|30|0.000E+00
10017|64|2.3200000E+01|30|0.000E+00
10017|75|5.0000000E+00|40|0.000E+00
10018|11|1.4000000E+01|70|0.000E+00
10018|50|1.1300000E+01|10|1.500E-01
10019|75|5.4000000E+00|20|1.500E-01
10020|8|2.8000000E+01|10|0.000E+00
10020|16|1.2000000E+01|14|0.000E+00
10021|1|1.2000000E+01|60|2.000E-01
10021|10|2.1700000E+01|27|0.000E+00
10021|25|9.8000000E+00|5|2.000E-01
10021|33|1.0000000E+00|50|2.000E-01
10021|36|1.3000000E+01|36|2.000E-01
10021|71|1.5000000E+01|5|2.000E-01
