"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long001"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long002"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long003"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long004"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long005"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long006"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long007"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long008"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long009"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long010"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long011"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long012"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long013"
"Photo: R. Meinecke","SOURCEDB_EDEMO_PHOTOS_PHOTO.long014"
