"10","double","45","200.00"
"10","single","20","135.00"
"20","double","13","100.00"
"20","single","10","70.00"
"30","double","15","80.00"
"30","single","12","45.00"
"40","double","35","140.00"
"40","single","20","85.00"
"50","double","230","180.00"
"50","single","50","105.00"
"50","suite","12","500.00"
"60","double","39","200.00"
"60","single","10","120.00"
"60","suite","20","500.00"
"70","double","11","180.00"
"70","single","4","115.00"
"80","double","19","150.00"
"80","single","15","90.00"
"80","suite","5","400.00"
"90","double","145","150.00"
"90","single","45","90.00"
"90","suite","60","300.00"
"100","double","24","100.00"
"100","single","11","60.00"
"110","double","10","130.00"
"110","single","2","70.00"
"120","double","78","140.00"
"120","single","34","80.00"
"120","suite","55","350.00"
"130","double","300","270.00"
"130","single","89","160.00"
"130","suite","100","700.00"
"140","double","9","200.00"
"140","single","10","125.00"
"140","suite","78","600.00"
"150","double","115","190.00"
"150","single","44","100.00"
"150","suite","6","450.00"
